sample_id,fastq_1_url,fastq_2_url
SRR1945483,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/003/SRR1945483/SRR1945483_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/003/SRR1945483/SRR1945483_2.fastq.gz
SRR1945465,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR1945465/SRR1945465_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR1945465/SRR1945465_2.fastq.gz
